title,genres,synopsis,rating,actors,directors
Operation Kid Brother,"Action,Thriller","The evil crime syndicate Thanatos is bent on taking over the world, using a magnetic wave generator that will cause all metal-based machinery to grind to a halt. However, the well-known British secret agent normally assigned to such tasks isn't available, so they engage his civilian brother, Neil, to help. Neil, played by Neil Connery, is a world-class plastic surgeon, hypnotist, and lip-reader, which turn out to be precisely the skills required for thwarting Thanatos.",4.3,"Neil Connery,Daniela Bianchi,Adolfo Celi",Alberto De Martino
Tuklas,Drama,"The first Bisaya VMX Original stars true-blooded Bisaya Skye Gonzaga. When IT officer Chris Alvarado uncovers a financial scandal at work, he faces a moral dilemma: exposing the truth or giving in to Anna, a seductive sales manager promising success and intimacy.",7.0,"Skye Gonzaga,Chino Villaluna,Denzel Cruza",
The Matrix,"Action,Science Fiction","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",8.24,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss","Lana Wachowski,Lilly Wachowski"
O ľuďoch a čarodejníkoch,"Family,Fantasy","A fairytale story in which love and humanity are not just words, but become a force that words cannot describe. You won't find three identical stars in the sky, three identical stones on the earth, nor three identical beings among the wizards - the old and wise Habra, the suggestive Hobrix and the beautiful Harex watched over an imperfect, emotion-ridden human race until malice and love entered their lives as well.",0.0,"Naďa Kotršová,Ivo Gogál,Ivana Christová",Oľga Keleová
The Robbers,Comedy,"It's Boxing Day and already Karen is making New Year resolutions - chiefly for others - and the family have been burgled,though selectively,causing Sue to cheat on the insurance claim. Sue and Jake go to collect Grandad from the retirement home where he now lives,only to find he has sloped off to the pub again with Scots mate Mac. Sue ends up asking Mac back for dinner though his thick accent creates a language barrier for Karen. Sue's divorced friend Jane is also invited and though the children fail to appreciate her present for them,a goat donated to Oxfam,Pete feels sorry for her and is glad that the Brockmans have given a Christmas to lonely strangers - until a W.P.C. turns up with another old boy who has gone walkabout.",0.0,"Hugh Dennis,Claire Skinner,Tyger Drew-Honey","Andy Hamilton,Guy Jenkin"
Dunkirk,"War,Action,Drama","The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",7.5,"Fionn Whitehead,Tom Hardy,Mark Rylance",Christopher Nolan
Beautiful Funerals,,"BEAUTIFUL FUNERALS is a hand-painted double-step-printed film composed of 1) dense blackness variously punctuated by brilliantly colored jewel/flower-like shapes AND 2) interruptive white sections which are fuzzily dotted with blurred whites and criss-crossed by black ""brushstrokes"" and hard-edge straight black and white lines. Finally there is a brilliant pinkish flare veined with curled blue lines which engenders a resolution between these (above described) alternating modes - colors in the straight-line sections, lines among the artifice of ""flowers,"" a kind of dark lattice-form which knits the two modes, gray and colored ""clouds"" which correlate them.",5.0,,Stan Brakhage
Superman,"Science Fiction,Adventure,Action","Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",7.346,"David Corenswet,Rachel Brosnahan,Nicholas Hoult",James Gunn
Oppenheimer,"Drama,History",The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,8.0,"Cillian Murphy,Emily Blunt,Matt Damon",Christopher Nolan
The Red Line,"Thriller,Crime,Drama","Three women fall prey to a ruthless phone scam. To settle the score, they'll take on the criminal network that stole their money — and their dignity.",6.5,"Nittha Jirayungyurn,Esther Supreeleela,Chutima Maholakul",Sitisiri Mongkolsiri
Vodnická čertovina,"Family,Fantasy,TV Movie","When something flashes across the pond dam in the early evening, it could be the gamekeeper Čeřínek, or the poacher Kopýtko and the tailor Nitka, or... could it be Pepík and Franta? A water sprite, no, water sprites don't exist, only superstitious old women and the poor fish warden, who is a little scared of guarding the carp in the tower, believe in them. At least that's what Kopýtko and Nitka think as they plunder the pond so that their mischievous wives can show off. And what if they manage to catch a colossal fish, a carp bigger than anyone has ever seen before? Immediately, a plan emerges in their greedy minds to pass the carp off as a water sprite, display it in pubs, and make a fortune.",0.0,"Václav Vydra,Taťjana Medvecká,Miroslav Vladyka",Vlasta Janečková
Last Orders,"Comedy,Drama","Jack Dodd was a London butcher who enjoyed a pint with his mates for over 50 years. When he died, he died as he lived, with a smile on his face watching a horse race on which he had bet, with borrowed money. But before he died he had a final request, 'Last Orders', that his ashes be scattered in the sea at Margate. The movie follows his mates, Ray, Lenny and Vic and his foster son Vince as they journey to the sea with the ashes. Along the way, the threads of their lives, their loves and their disappointments are woven together in their memories of Jack and his wife Amy",6.0,"Michael Caine,Tom Courtenay,David Hemmings",Fred Schepisi
