title,genres,synopsis,rating,actors,directors
Anaconda,"Adventure,Comedy,Horror","A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",5.891,"Jack Black,Paul Rudd,Steve Zahn",Tom Gormican
Predator: Badlands,"Action,Science Fiction,Adventure","Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",7.696,"Elle Fanning,Dimitrius Schuster-Koloamatangi,Ravi Narayan",Dan Trachtenberg
Lilly Lives Alone,"Horror,Thriller","Guided by the ghost of her daughter, a guilt-ridden mother plunges into madness through the course of drug-fueled fever dream.",7.5,"Shannon Beeby,Jeffrey Combs,Erin Way",Martin Melnick
Spider-Man: No Way Home,"Action,Adventure,Science Fiction","Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",7.933,"Tom Holland,Zendaya,Benedict Cumberbatch",Jon Watts
Lady Bodyguard,Comedy,"A.C.Baker, advertising executive for an insurance company, approaches test pilot Terry Moore with a proposition that in return for using his picture and endorsement he will get a paid-for-a-year $1000 policy. High-risk Terry agrees. George MacAlister fires his secretary, Miss Tracy, just as she is typing up the policy and she, for spite, changes the amount from a thousand dollars to one million dollars. A.C. delivers the policy, without noticing the difference, to Terry at a party at the Frolics Club, a cheap joint wedged between a burlesque house and a flop house hotel. Three characters, an elderly hat-check ""girl"" known as Mother Hodges; Avery Jamieson, a broken-down actor; and bartender Harry Gargan are named beneficiaries. When the company discovers the error, A.C. is sent to get back the policy and, pending that, don't let Terry make any test flights.",4.0,"Anne Shirley,Eddie Albert,Raymond Walburn",William Clemens
xXx,"Action,Adventure,Thriller,Crime,Drama","Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",5.982,"Vin Diesel,Asia Argento,Marton Csokas",Rob Cohen
Dhurandhar,"Action,Crime,Thriller","A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.",7.0,"Ranveer Singh,Akshaye Khanna,R. Madhavan",Aditya Dhar
Frenzy,"Crime,Thriller,Horror","London is terrorized by a vicious sex killer known as The Necktie Murderer. Following the brutal slaying of his ex-wife, down-on-his-luck Richard Blaney is suspected by the police of being the killer. He goes on the run, determined to prove his innocence.",7.097,"Jon Finch,Barry Foster,Barbara Leigh-Hunt",Alfred Hitchcock
Attila,Music,"First staged at the Teatro La Fenice in 1846, Verdi’s ninth opera, Attila, returns to the stage of La Scala on December 7th. Following the inauguration of the 2015-2016 Season with Giovanna d’Arco and in anticipation of Macbeth, with Attila Musical Director Riccardo Chailly continues his study of Verdi’s early works, renewing a successful collaboration with creative director Davide Livermore that began with his acclaimed production of Donizetti’s Don Pasquale for La Scala. In this complex opera Verdi experiments with fresh perspectives, featuring spectacular historical settings, introspective angles and moral uncertainties. Attila demands of its performers not only passion and confidence, but also the ability to find subtle accents and psychological nuances.",0.0,"Ildar Abdrazakov,Saioa Hernández,Fabio Sartori",Patrizia Carmine
Buffaloed,"Comedy,Drama","Set in the underworld of debt-collecting, homegrown hustler Peg Dahl will do anything to escape Buffalo, NY.",6.704,"Zoey Deutch,Judy Greer,Jermaine Fowler",Tanya Wexler
Felon,"Crime,Drama,Thriller,Action",A family man convicted of killing an intruder must cope with life afterward in the violent penal system.,7.145,"Stephen Dorff,Val Kilmer,Harold Perrineau",Ric Roman Waugh
Dinosaurus!,"Science Fiction,Horror","After undersea explosions near a Caribbean island, prehistoric creatures are unleashed on the unsuspecting population.",5.8,"Ward Ramsey,Paul Lukather,Kristina Hanson",Irvin S. Yeaworth Jr.
Sinners,"Horror,Action,Thriller","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",7.5,"Michael B. Jordan,Hailee Steinfeld,Miles Caton",Ryan Coogler
Carnosaur 2,"Horror,Science Fiction",A team of scientists go to a nuclear mining facility to investigate a possible meltdown and instead find a large amount of cloned dinosaurs.,4.3,"John Savage,Cliff DeYoung,Don Stroud",Louis Morneau
Swimfan,"Thriller,Mystery,Romance,Drama","Ben Cronin has it all: the admiration of his many friends, a terrific girlfriend, and he's on the fast-track to an athletic scholarship. Ben's rock-solid, promising future and romance are turned upside-down with the arrival of Madison Bell. Madison, the new girl in town, quickly sets her sights on the impressionable Ben. While their first few meetings are innocent enough, the obsessive and seductive Madison wants more ... much more.",5.2,"Jesse Bradford,Erika Christensen,Shiri Appleby",John Polson
Hunting Season,"Action,Drama,Thriller","When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a brutal criminal to survive.",6.978,"Mel Gibson,Shelley Hennig,Jordi Mollà",Raja Collins
Defenseless,"Thriller,Mystery","A Los Angeles lawyer defends her former college roommate, whose husband — her lover — has been slain.",4.9,"Barbara Hershey,Sam Shepard,Christine Elise",Martin Campbell
Mrs Sen,Drama,"On the wee hours of a December morning, the ring of a telephone shatters the quietness of the Sen household. Anuradha, Who answers the call, is stunned to hear the caller on the other side of the line. Her husband had met with a fatal accident in Thailand and had sunk into coma and she needed to take the next available flight and reach the hospital. Both Anuradha and Sohini's world are shattered. Both the Mrs. Sen did not know how to address this crisis that they had never imagined in their wildest dreams. Somnath's body is cremated and Anuradha wants to carry the ashes to India, to Somnath's father for the last rights. Sohini does not object, as she is about to set for the Airport, Sohini faints. The doctor is called and he asks Anuradha to admit Sohini to the Hospital once more. In the Hospital, Sohini is diagnosed as having her internal organs damaged and internal bleeding happening. Doctor's however clearly mention that it was only days before Sohini would actually die.",0.0,"Rituparna Sengupta,Hrishitaa Bhatt,Rohit Roy",Agnidev Chatterjee
Ready or Not: Here I Come,"Horror,Comedy,Action","Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.",7.6,"Samara Weaving,Kathryn Newton,Elijah Wood","Matt Bettinelli-Olpin,Tyler Gillett"
Milli Vanilli,"Music,Documentary","The story of Robert Pilatus and Fabrice Morvan, who became fast friends during their youth in Germany. With Rob coming from a broken home and Fabrice having left an abusive household, they shared a similar upbringing, as well as a future goal: to become famous superstars. In a few short years, their dreams came true. Rob and Fab, better known as Milli Vanilli, became the world's most popular pop duo in 1990 and won the GRAMMY for Best New Artist. However, their ascension to success came with a devastating price that ultimately led to their infamous undoing.",7.2,"Fab Morvan,Rob Pilatus,Downtown Julie Brown",Luke Korem
One Battle After Another,"Thriller,Crime,Comedy","Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",7.4,"Leonardo DiCaprio,Sean Penn,Chase Infiniti",Paul Thomas Anderson
Texasville,"Drama,Romance","Summer, 1984: 30 years after Duane captained the high school football team and Jacy was homecoming queen, this Texas town near Wichita Falls prepares for its centennial. Oil prices are down, banks are failing, and Duane's $12 million in debt. His wife Karla drinks too much, his children are always in trouble, and he tom-cats around with the wives of friends. Jacy's back in town, after a mildly successful acting career, life in Italy, and the death of her son. Folks assume Duane and Jacy will resume their high school romance. And Sonny is ""tired in his mind,"" causing worries for his safety. Can these friends find equilibrium in middle age?",6.0,"Jeff Bridges,Cybill Shepherd,Annie Potts",Peter Bogdanovich
28 Years Later: The Bone Temple,"Horror,Thriller,Science Fiction",Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,7.195,"Ralph Fiennes,Jack O'Connell,Alfie Williams",Nia DaCosta
The Avengers,"Science Fiction,Action,Adventure","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",7.979,"Robert Downey Jr.,Chris Evans,Mark Ruffalo",Joss Whedon
The Legendary Lighter,Action,A man who used to be called Lighter cleans up his act from his days as a gangster and struggles to start over.,4.75,"Kim Hae-joon,Park Sharon,Lee Dong-ju",Chae Ki-jun
The Super Mario Bros. Movie,"Family,Comedy,Adventure,Animation,Fantasy","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",7.587,"Chris Pratt,Anya Taylor-Joy,Charlie Day","Aaron Horvath,Michael Jelenic"
David,"Animation,Family,Drama,Music","From the songs of his mother’s heart to the whispers of a faithful God, David’s story begins in quiet devotion. When the giant Goliath rises to terrorize a nation, a young shepherd armed with only a sling, a few stones, and unshakable faith steps forward. Pursued by power and driven by purpose, his journey tests the limits of loyalty, love, and courage—culminating in a battle not just for a crown, but for the soul of a kingdom.",8.022,"Brandon Engman,Brian Stivale,Shahar Taboch","Phil Cunningham,Brent Dawes"
Rage,"Drama,Thriller","An accidental nerve gas leak by the military kills not only a rancher's livestock, but also his son. When he tries to hold the military accountable for their actions, he runs up against a wall of silence.",6.5,"George C. Scott,Richard Basehart,Martin Sheen",George C. Scott
The Unearthly,"Science Fiction,Horror",A mad doctor uses patients at his isolated psychiatric institute as subjects in his attempts to create longevity by surgically installing an artificial gland in their skulls.,3.8,"John Carradine,Myron Healey,Allison Hayes",Boris Petroff
Bingo Bongo,Comedy,"The ape-man, found somewhere in the jungles of Congo, transferred to Milan and named Bingo Bongo. The only one who believes in the human qualities of him is Laura, a woman anthropologist , so their affection for each other even grows to love.",5.741,"Adriano Celentano,Carole Bouquet,Felice Andreasi",Pasquale Festa Campanile
Sundutan,Drama,"A hole on the wall accidentally connects two women emotionally and physically. Forbidden love, greed, betrayal... what lies beyond the hole? And for how long can they keep covering it up?",4.0,"Allison Ross,Jade Esguerra,Mark Dionisio",Rodante Pajemna Jr.
Project X,Comedy,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",6.884,"Thomas Mann,Oliver Cooper,Jonathan Daniel Brown",Nima Nourizadeh
El Anzuelo,Comedy,"Filmmaker Ernesto Rimoch looks at the potent combination of love and ambition in this film about a couple who's so happy their daughter is marrying into a rich clan that they throw the best wedding ever, even if they can't afford it. When the father (Damián Alcázar) loses the money to pay for the musician, mayhem ensues. The film itself is made to look like a videotaping of the wedding, revealing who's responsible for the crime.",4.8,"Damián Alcázar,Rodolfo Arias,Carmen Beato",Ernesto Rimoch
The Rip,"Action,Thriller,Crime","Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.",7.1,"Matt Damon,Ben Affleck,Teyana Taylor",Joe Carnahan
Bloodline Killer,"Horror,Thriller",Moira Cole endeavors to rebuild her shattered life after her family's murder at the hands of her deranged and obsessed cousin.,5.735,"Bruce Dern,Tyrese Gibson,Shawnee Smith",Ante Novakovic
Sherlock Holmes,"Adventure,Crime,Mystery",Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,7.218,"Robert Downey Jr.,Jude Law,Rachel McAdams",Guy Ritchie
Pusher,"Action,Crime,Drama",A drug pusher grows increasingly desperate after a botched deal leaves him with a large debt to a ruthless drug lord.,6.997,"Kim Bodnia,Mads Mikkelsen,Laura Drasbæk",Nicolas Winding Refn
JUJUTSU KAISEN: Execution,"Animation,Action,Fantasy","A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc.",5.871,"Junya Enoki,Megumi Ogata,Koji Yusa",Shota Goshozono
Homo Promo,Documentary,"This spectacular showcase of vintage movie trailers offers a crash course in lesbian, gay, bi and transgender (LGBT) movie history and a colorful look at nearly every major mainstream queer-themed film produced between 1953 and 1977! Archivist Jenni Olson is one of the world’s leading experts on LGBT film history — curated from her private collection of rare original 35mm coming attractions trailers, Homo Promo has entertained audiences at LGBT film festivals around the world offering a campy cavalcade of coming attractions. Please note: The condition of these original 35mm archival prints varies — enjoy the wear and tear and rest assured that they have now all been donated to the Outfest/UCLA Legacy Project for LGBT Film Preservation where they are now being properly cared for.",0.0,"Bela Lugosi,Ingrid Thulin,Mae West",Jenni Olson
Endless Love,"Drama,Romance",A privileged girl and a charismatic boy's instant desire sparks a love affair made only more reckless by parents trying to keep them apart.,6.9,"Alex Pettyfer,Gabriella Wilde,Bruce Greenwood",Shana Feste
The Super Mario Galaxy Movie,"Family,Fantasy,Comedy,Adventure,Animation","Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",0.0,"Chris Pratt,Anya Taylor-Joy,Charlie Day","Michael Jelenic,Aaron Horvath"
The Killers,"Crime,Mystery,Thriller","Two hit men walk into a diner asking for a man called ""the Swede"". When the killers find the Swede, he's expecting them and doesn't put up a fight. Since the Swede had a life insurance policy, an investigator, on a hunch, decides to look into the murder. As the Swede's past is laid bare, it comes to light that he was in love with a beautiful woman who may have lured him into pulling off a bank robbery overseen by another man.",7.3,"Edmond O'Brien,Burt Lancaster,Ava Gardner",Robert Siodmak
Palimpsests,Documentary,"This film is from the project Unconformities, comprised of artworks made up from the material of surveyed land, extracted from coring construction sites in Paris, Athens and Beirut. These cores bare their ""unconformities""—temporal ruptures, natural disasters, geological movements—in full view, revealing a constant cycle of construction and deconstruction that is the defining feature of civilisations past and present, with each using the stones of the last. History appears not as layers but as actions, a kind of palimpsest mixing epochs and civilizations. These poetic recompositions question the dominant forms of narrating and representing history, but also address debates around the Anthropocene.",0.0,,"Khalil Joreige,Joana Hadjithomas"
Zoolander 2,"Comedy,Adventure,Action",Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,4.9,"Ben Stiller,Owen Wilson,Will Ferrell",Ben Stiller
Now You See Me: Now You Don't,"Thriller,Crime","The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",6.534,"Jesse Eisenberg,Dominic Sessa,Ariana Greenblatt",Ruben Fleischer
The Draft!,"Science Fiction,Horror",5 student. An old villa. Old well. Forbidden room. Dark secret of the past. A seemingly omnipotent evil. Survival is the key. Let the battle of wits begins...,8.0,"Anastasia Herzigova,Winner Wijaya,Putri Anggie",Yusron Fuadi
Thérèse,Drama,An unhappily married woman struggles to break free from social pressures and her boring suburban setting.,5.8,"Audrey Tautou,Gilles Lellouche,Anaïs Demoustier",Claude Miller
Rust Creek,"Thriller,Drama,Action,Crime","When an overachieving college senior makes a wrong turn, her road trip becomes a life-changing fight for survival in rural Kentucky.",6.3,"Hermione Corfield,Jay Paulson,Sean O'Bryan",Jen McGowan
Gifted,"Drama,Comedy","Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",7.997,"Chris Evans,Mckenna Grace,Lindsay Duncan",Marc Webb
State of Fear,"Action,Thriller,Crime,Drama","As São Paulo erupts in an unprecedented wave of violence, a lawyer with underworld ties must strike a deal with the police to rescue her kidnapped niece.",5.5,"Naruna Costa,Camilla Damião,Seu Jorge",Pedro Morelli
Interstellar,"Adventure,Drama,Science Fiction",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,8.5,"Matthew McConaughey,Anne Hathaway,Michael Caine",Christopher Nolan
Terrestrial,Horror,,6.5,"Dane-randall bacon,Deena Bacon,Randall J. Bacon",Alex Farnham
The Red Line,"Thriller,Crime,Drama","Three women fall prey to a ruthless phone scam. To settle the score, they'll take on the criminal network that stole their money — and their dignity.",6.5,"Nittha Jirayungyurn,Esther Supreeleela,Chutima Maholakul",Sitisiri Mongkolsiri
The Untouchables,"Crime,History,Thriller","Elliot Ness, an ambitious prohibition agent, is determined to take down Al Capone. In order to achieve this goal, he forms a group given the nickname “The Untouchables”.",7.754,"Kevin Costner,Sean Connery,Robert De Niro",Brian De Palma
Avengers: Infinity War,"Adventure,Action,Science Fiction","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",8.234,"Robert Downey Jr.,Chris Evans,Chris Hemsworth","Joe Russo,Anthony Russo"
Cruel Jaws,"Horror,Thriller,Adventure,Comedy",A tiger shark bred by the Navy as a killing machine is wreaking havoc in the sleepy tourist town of Hampton Bay.,4.2,"David Luther,George Barnes Jr.,Scott Silveria",Bruno Mattei
They Will Kill You,"Action,Comedy,Horror","A woman answers a help wanted ad to be a housekeeper in a mysterious high-rise in New York City, not realizing she is entering a community that has seen a number of disappearances over the years and may be under the grip of a Satanic cult.",6.5,"Zazie Beetz,Myha'la,Patricia Arquette",Kirill Sokolov
Spider-Man: Brand New Day,"Science Fiction,Action,Adventure","Four years have passed since the events of No Way Home, and Peter is now an adult living entirely alone, having voluntarily erased himself from the lives and memories of those he loves. Crime-fighting in a New York that no longer knows his name, he's devoted himself entirely to protecting his city — a full-time Spider-Man — but as the demands on him intensify, the pressure sparks a surprising physical evolution that threatens his existence, even as a strange new pattern of crimes gives rise to one of the most powerful threats he has ever faced.",0.0,"Tom Holland,Zendaya,Sadie Sink",Destin Daniel Cretton
Don Juan,"Adventure,Romance","If there was one thing that Don Juan de Marana learned from his father Don Jose, it was that women gave you three things - life, disillusionment and death. In his father's case it was his wife, Donna Isobel, and Donna Elvira who supplied the latter. Don Juan settled in Rome after attending the University of Pisa. Rome was run by the tyrannical Borgia family consisting of Caesar, Lucrezia and the Count Donati. Juan has his way with and was pursued by many women, but it is the one that he could not have that haunts him. It will be for her that he suffers the wrath of Borgia for ignoring Lucrezia and then killing Count Donati in a duel. For Adriana, they will both be condemned to death in the prison on the river Tigre.",6.4,"John Barrymore,Jane Winton,John Roche",Alan Crosland
Swan Song,Drama,An aging actor remembers his past stage triumphs and contemplates a dim future on the stage of an empty theatre. The film was nominated for an Oscar for Best Live Action Short Film.,6.8,"John Gielgud,Richard Briers",Kenneth Branagh
7 Below,Horror,A group of strangers is trapped in a time warp house where a terrible event transpired exactly 100 years prior.,3.559,"Val Kilmer,Ving Rhames,Luke Goss",Kevin Carraway
The Unknown Man,Drama,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration.",8.5,"Geert Van Rampelberg,Samuel Suchod,Anna Sacuto",Anthony Schatteman
The Internship,Action,"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force.",6.2,"Lizzy Greene,Megan Boone,Sky Katz",James Bamford
KPop Demon Hunters,"Fantasy,Music,Comedy,Animation","When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",8.034,"Arden Cho,May Hong,Ji-young Yoo","Chris Appelhans,Maggie Kang"
The Hayseed,Comedy,"Buster manages the store while Roscoe delivers the mail, taking time out for hide-and-seek with Molly. The constable, also interested in Molly, steals $300 while being observed by Buster.",5.9,"Roscoe Arbuckle,Buster Keaton,Molly Malone",Roscoe Arbuckle
Dracula,"Horror,Fantasy,Romance","In late 15th-century Eastern Europe, Prince Vlad II’s bride is brutally murdered. As a result, he renounces God and damns Heaven itself. Cursed with eternal life, Vlad is reborn as Dracula, an immortal warlord who defies fate in a blood-soaked crusade to wrench his lost love back from death.",7.097,"Caleb Landry Jones,Zoë Bleu Sidel,Christoph Waltz",Luc Besson
The Shawshank Redemption,"Drama,Crime","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",8.717,"Tim Robbins,Morgan Freeman,Bob Gunton",Frank Darabont
Wildcat,"Action,Thriller",An ex-black ops team reunite to pull off a desperate heist in order to save the life of their leader’s eight-year-old daughter.,6.206,"Kate Beckinsale,Lewis Tan,Alice Krige",James Nunn
Local Hero,"Comedy,Drama",An American oil company sends a man to Scotland to buy up an entire village where they want to build a refinery. But things don't go as expected.,6.8,"Burt Lancaster,Peter Riegert,Denis Lawson",Bill Forsyth
Abot Langit,Romance,"The relationship of a couple is tested when the girl’s first official flight pairs her with a confident senior pilot, jealousy and power dynamics surface in the training ground. The girl is now torn between her present relationship and new temptation she can’t resist.",5.0,"Aliya Raymundo,JC Tan,Jio Yoshida",Topel Lee
Stung,"Horror,Comedy,Science Fiction",A fancy garden party turns into upper class prey when a colony of killer wasps mutates into seven foot tall predators.,5.3,"Matt O'Leary,Jessica Cook,Lance Henriksen",Benni Diez
The Humbling,"Drama,Comedy","Following a breakdown and suicide attempt, an aging actor becomes involved with a much younger woman but soon finds that it's difficult to keep pace with her.",5.1,"Al Pacino,Greta Gerwig,Dylan Baker",Barry Levinson
Osiris,"Science Fiction,Action,Horror","Special Forces commandos on a mission are abducted mid-operation by a mysterious spacecraft. Upon waking aboard, they find themselves prey to a relentless alien race in a fight for survival.",5.942,"Max Martini,Brianna Hildebrand,LaMonica Garrett",William Kaufman
Oscar Shaw,"Action,Crime,Thriller,Western","After retiring from the police force, a relentless detective haunted by the tragic loss of his closest friend sets out on a perilous quest for vengeance, seeking redemption and fighting to restore justice to the streets he once swore to protect.",6.741,"Michael Jai White,Tyrese Gibson,Isaiah Washington","R. Ellis Frazier,Justin Nesbitt"
Cold Storage,"Horror,Science Fiction,Comedy","When a mutating, highly contagious fungus escapes a sealed facility, two employees – joined by a grizzled bioterror operative – must survive the wildest night shift ever to save humanity from extinction.",6.718,"Joe Keery,Georgina Campbell,Liam Neeson",Jonny Campbell
Door III,Horror,"Miyako is a frustrated insurance saleswoman stuck in a major dry spell. She tries every trick in the book, including aggressive flirting, which gets her plenty of gropers but no buyers. One day while venturing down a narrow stairwell, she injures her ankle and happens upon Mitsuru who works for some mysterious foreign company. Decked out in high goth style -- complete with long inky black hair and mascaraed eyes -- Mitsuru cuts quite an odd figure, yet his seductive though menacing ways make him difficult for Miyako to resist. Escorting her to his office to treat her ankle, Miyako notices that his all-female staff seem more glassy-eyed and soul-deadened than the average office workers. In fact, they seem almost like zombies. Later, weird things start happening. Mitsuko finds vomit on her doorstep, she seems to be tailed by a shadowy woman in a red dress, and most strikingly, she finds herself utterly powerless against Mitsuru's advances.",5.2,"Minako Tanaka,Akihiro Nakazawa,Rinko Mayumi",Kiyoshi Kurosawa
Kraken,"Horror,Action,Thriller","Marine biologist Johanne is doing research on a fish farm in Vangsnes, a rural community located by the fjord, when she encounters several strange occurrences. Along with the brutal deaths of two local teenagers, all signs point to the deep fjord; can there be more to the depths than the eye can see? At the bottom of the deepest fjord rests a mythical monster as large as a mountain, with a myriad of arms ready to crush and devour anything they can grab.",6.2,"Sara Khorami,Mikkel Bratt Silset,Ingvild Holthe Bygdnes",Pål Øie
The Presidio,"Action,Crime,Mystery,Thriller",Jay Austin is now a civilian police detective. Colonel Caldwell was his commanding officer years before when he left the military police over a disagreement over the handling of a drunk driver. Now a series of murders that cross jurisdictions force them to work together again. That Austin is now dating Caldwell's daughter is not helping their relationship.,5.8,"Sean Connery,Mark Harmon,Meg Ryan",Peter Hyams
Bāhubali: The Epic,"Action,Drama","When a mysterious child is found by a tribal couple near a roaring waterfall, they raise him as their own. As he grows, Sivudu is drawn to the world beyond the cliffs, where he discovers the ancient kingdom of Mahishmati, ruled by a cruel tyrant, haunted by rebellion, and bound to his past. What begins as a quest for love soon unravels a legacy of betrayal, sacrifice, and a forgotten prince.",6.0,"Prabhas,Rana Daggubati,Anushka Shetty",S. S. Rajamouli
Pathinaaru,Romance,"Shiva and Indu are city-based students,who love each other. However, their love is strongly opposed by the latter’s parents. They're given a handwritten book titled ""Pathinaaru"" (Sixteen) by Indhu's mother to read. The book depicts a real-life story about two village teenagers Gopi and Ilavarasi, and their romance as they step into adolescence. Facing opposition from her affluent family, the gutsy Ilavarasi takes some bold unconventional steps, which backfires on her. The story of unrequited love and betrayal leaves Indu in a dilemma and she prepares to go with her family’s desires. But Siva is not ready to give up Indu and sets out to do his own investigation to get to the bottom of what ultimately happened to Gopi and Ilavarasi.",4.5,"Shiva,Madhu Shalini,Abhishek Shankar",Saba Kailash
Harry Potter and the Philosopher's Stone,"Adventure,Fantasy","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",7.898,"Daniel Radcliffe,Rupert Grint,Emma Watson",Chris Columbus
Robin Hood,"Thriller,Action,Drama","In the near future: the EU has collapsed, stock market prices have collapsed, energy costs have exploded; many thousands lose the roof over their heads and literally end up on the street. Alexander Scholl and Sophie Kaiser act as police officers investigating DNB, which has contributed to the precarious situation in Germany. Their CEO Rainer van Kampen is able to avert charges despite the overwhelming burden of proof. There is only one way out for Alexander: he joins forces with a group of outlaws: they commit robberies, hack into accounts and publicly pillory financial fraudsters. They distribute their loot to people on the street. Alex"" is quickly celebrated by the people and the media as ""Robin Hood"". But for his former colleague Sophie, with whom Alex is secretly in love, Robin Hood is a nasty criminal. The situation escalates, as not only the police and Sophie are hot on Alexander's heels, but also those behind the DNB...",10.0,"Ken Duken,Dagny Dewath,Matthias Koeberlin",Martin Schreier
Summer School,Comedy,"A high-school gym teacher has big plans for the summer, but is forced to cancel them to teach a ""bonehead"" English class for misfit goof-off students. Fortunately, his unconventional brand of teaching fun field trips begins to connect with them, and even inspires ardor in some.",6.4,"Mark Harmon,Kirstie Alley,Courtney Thorne-Smith",Carl Reiner
Worldbreaker,"Science Fiction,Action,Horror","Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.",5.862,"Milla Jovovich,Luke Evans,Billie Boullet",Brad Anderson
Avengers: Doomsday,"Science Fiction,Action,Adventure","The Avengers, Wakandans, Fantastic Four, Thunderbolts, and X-Men all fight against Doctor Doom. Plot TBA.",0.0,"Chris Hemsworth,Vanessa Kirby,Anthony Mackie","Joe Russo,Anthony Russo"
USS Christmas,"TV Movie,Mystery","Maddie, a reporter for a Norfolk newspaper, embarks on a Tiger Cruise during Christmastime where she meets a handsome naval officer and stumbles upon a mystery in the ship’s archive room.",6.62,"Jen Lilley,Trevor Donovan,Barbara Niven",Steven R. Monroe
